,type-id,instance-id,timestamp,value
11,263251,224285,2007-10-01,0.99
35,263251,224285,2007-10-02,0.52
59,263251,224285,2007-10-03,0.69
83,263251,224285,2007-10-04,0.66
107,263251,224285,2007-10-05,0.78
131,263251,224285,2007-10-06,0.76
155,263251,224285,2007-10-07,0.66
179,263251,224285,2007-10-08,0.31
203,263251,224285,2007-10-09,0.19
227,263251,224285,2007-10-10,0.5
251,263251,224285,2007-10-11,0.48
275,263251,224285,2007-10-12,0.69
299,263251,224285,2007-10-13,0.61
323,263251,224285,2007-10-14,0.44
347,263251,224285,2007-10-15,0.33
371,263251,224285,2007-10-16,0.57
395,263251,224285,2007-10-17,1.0
419,263251,224285,2007-10-18,0.99
443,263251,224285,2007-10-19,0.72
467,263251,224285,2007-10-20,0.88
491,263251,224285,2007-10-21,0.62
515,263251,224285,2007-10-22,0.34
539,263251,224285,2007-10-23,0.45
563,263251,224285,2007-10-24,0.24
587,263251,224285,2007-10-25,0.55
611,263251,224285,2007-10-26,0.65
635,263251,224285,2007-10-27,0.46
659,263251,224285,2007-10-28,0.31
683,263251,224285,2007-10-29,0.48
707,263251,224285,2007-10-30,0.88
731,263251,224285,2007-10-31,0.35
755,263251,224285,2007-11-01,0.45
779,263251,224285,2007-11-02,0.35
803,263251,224285,2007-11-03,0.35
827,263251,224285,2007-11-04,0.22
851,263251,224285,2007-11-05,0.28
875,263251,224285,2007-11-06,0.25
899,263251,224285,2007-11-07,0.21
923,263251,224285,2007-11-08,0.26
947,263251,224285,2007-11-09,0.33
971,263251,224285,2007-11-10,0.6
995,263251,224285,2007-11-11,0.95
1019,263251,224285,2007-11-12,0.68
1043,263251,224285,2007-11-13,0.91
1067,263251,224285,2007-11-14,0.26
1091,263251,224285,2007-11-15,0.62
1115,263251,224285,2007-11-16,0.74
1139,263251,224285,2007-11-17,0.79
1163,263251,224285,2007-11-18,0.58
1187,263251,224285,2007-11-19,0.9
1211,263251,224285,2007-11-20,0.82
1235,263251,224285,2007-11-21,0.58
1259,263251,224285,2007-11-22,0.54
1283,263251,224285,2007-11-23,0.68
1307,263251,224285,2007-11-24,0.23
1331,263251,224285,2007-11-25,0.31
1355,263251,224285,2007-11-26,0.53
1379,263251,224285,2007-11-27,0.91
1403,263251,224285,2007-11-28,0.59
1427,263251,224285,2007-11-29,0.67
1451,263251,224285,2007-11-30,0.82
1475,263251,224285,2007-12-01,0.79
1499,263251,224285,2007-12-02,0.53
1523,263251,224285,2007-12-03,0.22
1547,263251,224285,2007-12-04,0.62
1571,263251,224285,2007-12-05,0.72
1595,263251,224285,2007-12-06,0.84
1619,263251,224285,2007-12-07,0.99
1643,263251,224285,2007-12-08,0.99
1667,263251,224285,2007-12-09,0.91
1691,263251,224285,2007-12-10,0.92
1715,263251,224285,2007-12-11,0.54
1739,263251,224285,2007-12-12,0.62
1763,263251,224285,2007-12-13,0.92
1787,263251,224285,2007-12-14,0.66
1811,263251,224285,2007-12-15,0.65
1835,263251,224285,2007-12-16,0.66
1859,263251,224285,2007-12-17,0.71
1883,263251,224285,2007-12-18,0.98
1907,263251,224285,2007-12-19,0.99
1931,263251,224285,2007-12-20,0.97
1955,263251,224285,2007-12-21,0.77
1979,263251,224285,2007-12-22,0.49
2003,263251,224285,2007-12-23,0.89
2027,263251,224285,2007-12-24,0.93
2051,263251,224285,2007-12-25,0.71
2075,263251,224285,2007-12-26,0.93
2099,263251,224285,2007-12-27,0.9
2123,263251,224285,2007-12-28,0.95
2147,263251,224285,2007-12-29,0.97
2171,263251,224285,2007-12-30,0.76
2195,263251,224285,2007-12-31,0.75
2219,263251,224285,2008-01-01,0.25
2243,263251,224285,2008-01-02,0.27
2267,263251,224285,2008-01-03,0.38
2291,263251,224285,2008-01-04,0.56
2315,263251,224285,2008-01-05,0.84
2339,263251,224285,2008-01-06,0.82
2363,263251,224285,2008-01-07,0.92
2387,263251,224285,2008-01-08,0.97
2411,263251,224285,2008-01-09,0.84
2435,263251,224285,2008-01-10,0.95
2459,263251,224285,2008-01-11,0.88
2483,263251,224285,2008-01-12,0.55
2507,263251,224285,2008-01-13,0.94
2531,263251,224285,2008-01-14,0.26
2555,263251,224285,2008-01-15,0.73
2579,263251,224285,2008-01-16,0.72
2603,263251,224285,2008-01-17,0.66
2627,263251,224285,2008-01-18,0.66
2651,263251,224285,2008-01-19,0.55
2675,263251,224285,2008-01-20,0.96
2699,263251,224285,2008-01-21,0.84
2723,263251,224285,2008-01-22,0.68
2747,263251,224285,2008-01-23,0.49
2771,263251,224285,2008-01-24,0.61
2795,263251,224285,2008-01-25,0.63
